Episode,CumulativeReward,Loss/pi,Loss/v,Loss/entropy
0,1.233333266,6.41E-10,-0.02083120587,1.386286901
1,0.2305554885,2.44E-08,-23.46193903,1.385694324
2,0.2305554885,-2.47E-09,-30.91841269,1.385285379
3,-0.7722222893,3.92E-07,-17.33181373,1.385371164
4,-0.7722222893,-6.23E-08,-9.252128019,1.385715202
5,-0.7722222893,6.56E-08,-2.048401308,1.386070653
6,0.2305554885,-6.06E-09,-0.5487387544,1.38620706
7,0.2305554885,4.33E-08,-0.02177802346,1.386259033
8,0.2305554885,9.52E-08,-0.5724963244,1.386249371
9,0.2305554885,5.74E-10,-0.7438445582,1.386192236
10,0.2305554885,4.40E-08,-0.5218328038,1.386198182
11,-1.775000067,-2.89E-08,-0.1019535031,1.386260924
12,-1.775000067,1.38E-07,-0.02529588527,1.386288909
13,-0.7722222893,-2.38E-08,-0.1233048016,1.386253047
14,-2.777777845,-2.86E-07,-0.09595417906,1.386238624
15,3.238888822,2.30E-07,-0.06336309217,1.386258225
16,-2.777777845,-1.08E-08,-0.01250339059,1.386284294
17,-0.7722222893,2.42E-08,-0.02526480788,1.386291771
18,-1.775000067,-2.14E-08,-0.02325693366,1.38629044
19,-0.7722222893,-2.22E-08,-0.007782183097,1.386293302
20,1.233333266,7.82E-09,-0.01025746259,1.386288548
21,2.236111044,4.86E-08,-0.01060092506,1.386280716
22,-2.777777845,-5.81E-08,-0.00166547858,1.386280099
23,-0.7722222893,1.50E-08,-0.01825265294,1.386278104
24,6.247222156,3.38E-08,-0.07072525352,1.386268955
25,0.2305554885,1.89E-08,-0.0203356472,1.386252194
26,1.233333266,-1.56E-09,-0.01393526325,1.386224201
27,-0.7722222893,-3.12E-08,-0.00867249496,1.38621824
28,-0.7722222893,-7.52E-09,-0.01047340431,1.38622431
29,0.2305554885,7.15E-10,-0.0124992458,1.386210847
30,3.238888822,-2.64E-08,-0.02427060076,1.386183471
31,5.244444378,2.29E-08,-0.01368393112,1.386146821
32,-0.7722222893,-8.49E-10,-0.007825221341,1.38612965
33,1.233333266,-4.29E-09,-0.01206924398,1.386128668
34,-1.775000067,-1.32E-09,-0.009343821732,1.38612358
35,-2.777777845,1.51E-07,-0.001053688117,1.386116812
36,-1.775000067,2.96E-08,-0.009730382932,1.386121522
37,5.244444378,-3.57E-08,-0.07036720914,1.386146096
38,1.233333266,4.69E-09,-0.02196447877,1.386170767
39,1.233333266,3.33E-09,-0.01098268146,1.386197737
40,2.236111044,1.13E-08,-0.01121474368,1.386215947
41,-2.777777845,-2.37E-07,-0.004099177286,1.386226705
42,2.236111044,2.63E-09,-0.01238169111,1.386229349
43,-0.7722222893,6.71E-10,-0.01010133086,1.386220778
44,-1.775000067,7.73E-09,-0.006030555413,1.386204817
45,-2.777777845,1.59E-08,-0.0005693745107,1.386172202
46,5.244444378,-2.41E-08,-0.05160511571,1.386132572
47,-2.777777845,3.23E-09,-0.0001385364981,1.386100294
48,-1.775000067,5.30E-09,-0.007629712617,1.386081958
49,-2.777777845,1.05E-08,-0.0003295043254,1.386085207
50,1.233333266,1.25E-08,-0.02414818014,1.386090087
51,-0.7722222893,6.03E-10,-0.007772565613,1.386101218
52,-2.777777845,8.37E-08,-0.000512301169,1.386111349
53,1.233333266,1.42E-08,-0.0164079158,1.38612592
54,-0.7722222893,2.50E-09,-0.009436036647,1.386146838
55,1.233333266,-2.25E-09,-0.009801070765,1.386153811
56,-2.777777845,-4.62E-08,-0.0006366456578,1.386160266
57,-0.7722222893,1.58E-09,-0.00704000085,1.386157287
58,3.238888822,2.43E-08,-0.03929453027,1.386176753
59,3.238888822,-3.83E-08,-0.0345862384,1.386189162
60,0.2305554885,8.29E-09,-0.01568718715,1.386200874
61,-0.7722222893,-7.30E-10,-0.006276256828,1.386209619
62,0.2305554885,1.58E-09,-0.01407709049,1.38621443
63,-2.777777845,-4.33E-08,-0.0009302973072,1.386221054
64,4.2416666,2.55E-09,-0.02239128272,1.386228883
65,-1.775000067,2.10E-08,-0.005380346683,1.386232569
66,0.2305554885,4.84E-09,-0.01027364128,1.386235475
67,-1.775000067,1.12E-08,-0.005864427274,1.386235807
68,3.238888822,2.36E-08,-0.01956644957,1.386232232
69,-2.777777845,3.45E-08,-0.001658436309,1.386231277
70,0.2305554885,-3.16E-09,-0.01286975338,1.386228106
71,-0.7722222893,-1.68E-08,-0.00555825213,1.386231225
72,-2.777777845,2.97E-08,-0.0007524287762,1.386233845
73,-1.775000067,1.52E-08,-0.005359373917,1.386234655
74,7.249999933,1.15E-09,-0.04560849606,1.386233502
75,0.2305554885,1.06E-08,-0.01694566649,1.386234163
76,2.236111044,1.24E-08,-0.01977285631,1.386235004
77,-1.775000067,-2.88E-09,-0.006110117363,1.386236109
78,0.2305554885,-2.26E-09,-0.016018399,1.386241188
79,2.236111044,-1.69E-08,-0.0225402812,1.386243692
80,2.236111044,-8.61E-09,-0.02342298076,1.386244763
81,1.233333266,-5.81E-10,-0.01321663208,1.386246155
82,2.236111044,-2.31E-09,-0.01236606317,1.386249357
83,-0.7722222893,2.40E-09,-0.008552211002,1.386250675
84,0.2305554885,3.79E-09,-0.009525353377,1.386251636
85,-2.777777845,-2.07E-07,-0.001466446574,1.38625312
86,0.2305554885,4.86E-09,-0.009542673791,1.386253873
87,-2.777777845,3.29E-07,-0.001385636233,1.386256847
88,-0.7722222893,4.04E-09,-0.006387472744,1.386257946
89,2.236111044,3.25E-09,-0.01853572393,1.386257428
90,-1.775000067,1.25E-08,-0.004634805977,1.386257343
91,-2.777777845,3.27E-07,-0.0009866348752,1.386259462
92,-0.7722222893,-8.70E-09,-0.00891345455,1.38626123
93,0.2305554885,-6.15E-09,-0.01357432811,1.386262092
94,0.2305554885,2.35E-09,-0.01234137799,1.386262825
95,2.236111044,-1.33E-09,-0.02274304753,1.386262211
96,1.233333266,-6.79E-09,-0.01679452182,1.386261741
97,3.238888822,-1.01E-09,-0.02537678985,1.386263366
98,-0.7722222893,-1.62E-09,-0.008124992805,1.386263363
99,-2.777777845,-1.83E-07,-0.0006019438266,1.386263018
100,0.2305554885,1.47E-08,-0.013486953,1.386265545
101,1.233333266,1.68E-09,-0.01848975465,1.386263122
102,5.244444378,8.61E-09,-0.02891088059,1.386265952
103,0.2305554885,-8.49E-09,-0.008131188097,1.386270359
104,-1.775000067,-9.51E-09,-0.005242064411,1.386271683
105,0.2305554885,-3.22E-09,-0.009518259573,1.38627248
106,-0.7722222893,3.58E-09,-0.005651679773,1.386269344
107,2.236111044,-8.08E-09,-0.03228758955,1.386264896
108,-1.775000067,-3.47E-08,-0.009384980322,1.38626649
109,0.2305554885,3.61E-09,-0.01474984111,1.386274587
110,1.233333266,-1.79E-09,-0.01800007658,1.386278708
111,0.2305554885,1.34E-08,-0.00841545258,1.38628412
112,-1.775000067,-7.44E-08,-0.006639654558,1.386286569
113,1.233333266,4.00E-08,-0.01046852576,1.386288226
114,-1.775000067,-4.18E-08,-0.006250039842,1.386288456
115,2.236111044,-4.59E-09,-0.0181394006,1.38628781
116,-1.775000067,-1.56E-08,-0.004876264716,1.386287948
117,4.2416666,5.69E-09,-0.02448155111,1.386286574
118,0.2305554885,9.18E-09,-0.0124044409,1.386287407
119,-2.777777845,-2.68E-07,-0.001349988922,1.386287747
120,1.233333266,-6.85E-09,-0.0153001756,1.386287422
121,1.233333266,-6.29E-09,-0.01200809844,1.386287547
122,-1.775000067,-4.64E-08,-0.005174532155,1.386288357
123,2.236111044,-7.45E-11,-0.01776276395,1.386287154
124,5.244444378,2.05E-08,-0.02575947172,1.386287567
125,-2.777777845,8.77E-08,-0.001927771285,1.386289
126,3.238888822,1.09E-08,-0.01698314932,1.38628869
127,-2.777777845,3.58E-07,-0.001773739595,1.386289171
128,0.2305554885,8.46E-09,-0.008866419651,1.386289469
129,-1.775000067,-1.23E-10,-0.005182744862,1.386289134
130,-1.775000067,8.29E-09,-0.004996320909,1.386288744
131,-0.7722222893,4.44E-09,-0.008808267452,1.386288375
132,2.236111044,4.53E-09,-0.02028987415,1.386287544
133,-1.775000067,7.26E-09,-0.00502913324,1.386287564
134,1.233333266,1.55E-09,-0.01700106056,1.386287191
135,-2.777777845,3.20E-07,-0.0005668766639,1.386287776
136,-1.775000067,7.15E-09,-0.003901031401,1.386287939
137,4.2416666,-5.16E-09,-0.02904342808,1.386288006
138,-1.775000067,2.75E-09,-0.005616124811,1.386288392
139,1.233333266,2.68E-09,-0.02033679301,1.386287632
140,-2.777777845,1.43E-07,-0.0002377457918,1.386287607
141,0.2305554885,-8.31E-09,-0.008113342651,1.386288267
142,1.233333266,9.28E-09,-0.01527313836,1.386287954
143,1.233333266,6.93E-10,-0.01967618953,1.386288333
144,0.2305554885,7.20E-09,-0.01133312149,1.386288769
145,2.236111044,-7.72E-09,-0.01931185427,1.386289717
146,2.236111044,1.20E-08,-0.01559692197,1.386290954
147,2.236111044,1.57E-08,-0.01276842243,1.386289897
148,-2.777777845,2.82E-08,-0.004114314141,1.386287278
149,1.233333266,-1.21E-09,-0.01049689755,1.386284209
150,-1.775000067,7.88E-09,-0.005085786966,1.386282783
151,-0.7722222893,-8.11E-09,-0.005744631626,1.386284912
152,-1.775000067,1.06E-08,-0.005040906882,1.386288124
153,1.233333266,1.03E-08,-0.01164558909,1.38628903
154,0.2305554885,2.56E-09,-0.01022241904,1.386289176
155,3.238888822,6.51E-09,-0.01733214202,1.386288782
156,-2.777777845,-1.89E-07,-0.0006358632906,1.386289314
157,-0.7722222893,6.17E-09,-0.007264109747,1.386289107
158,4.2416666,-1.90E-08,-0.02968124827,1.386288491
159,0.2305554885,4.93E-09,-0.009967863049,1.386288062
160,0.2305554885,-8.11E-09,-0.01377258327,1.386287938
161,-1.775000067,-3.89E-09,-0.005417076635,1.386288233
162,-1.775000067,-1.64E-09,-0.002082400642,1.386288188
163,-0.7722222893,3.87E-10,-0.009900877509,1.38628786
164,0.2305554885,-1.10E-08,-0.01459633514,1.386287688
165,-2.777777845,-4.69E-10,-0.0005319732002,1.386287146
166,0.2305554885,1.29E-08,-0.014715582,1.386286827
167,-1.775000067,1.43E-08,-0.005251603933,1.386286533
168,4.2416666,-1.71E-09,-0.02737585848,1.386285858
169,4.2416666,-2.51E-08,-0.02962020558,1.38628539
170,1.233333266,-2.83E-09,-0.01889267117,1.386285465
171,2.236111044,1.84E-08,-0.02333345314,1.38628571
172,0.2305554885,-3.07E-09,-0.0139053541,1.386286177
173,-0.7722222893,-1.65E-09,-0.009175138061,1.386286403
174,-0.7722222893,3.06E-09,-0.009237699734,1.386286417
175,0.2305554885,-2.35E-09,-0.01307021508,1.386286672
176,5.244444378,1.33E-08,-0.02710173327,1.386286736
177,-2.777777845,3.05E-09,-0.0009690068297,1.386286565
178,-2.777777845,1.99E-07,-0.001030213451,1.386287059
179,0.2305554885,-9.97E-09,-0.01289980633,1.386287839
180,0.2305554885,1.09E-08,-0.009398490642,1.386287972
